time,CI,GFP,LacI,TetR,P0,P1,P2,P3
0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
100.0,26.0,0.0,8.0,24.0,2.0,2.0,2.0,2.0
200.0,12.0,6.0,9.0,34.0,2.0,2.0,2.0,2.0
300.0,6.0,9.0,11.0,20.0,2.0,2.0,2.0,2.0
400.0,5.0,9.0,0.0,14.0,2.0,2.0,2.0,2.0
500.0,3.0,11.0,5.0,10.0,2.0,2.0,2.0,2.0
600.0,9.0,5.0,5.0,7.0,2.0,2.0,2.0,2.0
700.0,26.0,3.0,2.0,31.0,2.0,2.0,2.0,2.0
800.0,16.0,1.0,27.0,31.0,2.0,2.0,2.0,2.0
900.0,5.0,1.0,14.0,15.0,2.0,2.0,2.0,2.0
1000.0,13.0,16.0,6.0,17.0,2.0,2.0,2.0,2.0
1100.0,12.0,17.0,23.0,12.0,2.0,2.0,2.0,2.0
1200.0,6.0,11.0,25.0,10.0,2.0,2.0,2.0,2.0
1300.0,13.0,12.0,9.0,4.0,2.0,2.0,2.0,2.0
1400.0,6.0,8.0,13.0,11.0,2.0,2.0,2.0,2.0
1500.0,4.0,29.0,8.0,9.0,2.0,2.0,2.0,2.0
1600.0,30.0,17.0,9.0,9.0,2.0,2.0,2.0,2.0
1700.0,18.0,15.0,22.0,13.0,2.0,2.0,2.0,2.0
1800.0,8.0,24.0,8.0,4.0,2.0,2.0,2.0,2.0
1900.0,21.0,11.0,24.0,1.0,2.0,2.0,2.0,2.0
2000.0,8.0,5.0,22.0,0.0,2.0,2.0,2.0,2.0
2100.0,4.0,2.0,12.0,0.0,2.0,2.0,2.0,2.0
